,State,County,"Population estimates, July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Housing units in multi-unit structures, percent, 2009-2013","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Black-owned firms, percent, 2007","American Indian- and Alaska Native-owned firms, percent, 2007","Asian-owned firms, percent, 2007","Native Hawaiian- and Other Pacific Islander-owned firms, percent, 2007","Hispanic-owned firms, percent, 2007","Women-owned firms, percent, 2007","Population per square mile, 2010","Land area in square miles, 2010",full_name,fips_code
290,COLORADO,PARK COUNTY,"18,556",14.5%,"16,204","16,206",3.6%,15.1%,20.4%,47.4%,94.2%,0.9%,1.3%,1.1%,,2.6%,6.2%,88.9%,"1,730",3.0%,"14,711",83.7%,"$284,800","$1,537",$360,"$1,106",1.2%,182,"7,119",2.43,85.3%,2.8%,91.8%,82.6%,97.0%,30.2%,8.7%,8.7%,65.0%,65.1%,"18,393","4,629",,,"49,653","$3,098",38.1,"$66,861","$35,939",8.1%,467,"1,467","50,728",2.6%,"2,016","2,163","1,108",639,75,"2,003",242,"1,810",0.0%,0.0%,0.0%,0.0%,0.0%,28.0%,7.4,"2,193.85","PARK COUNTY, COLORADO",08093
291,COLORADO,PHILLIPS COUNTY,"4,286",-3.5%,"4,442","4,442",6.7%,24.6%,22.5%,50.7%,96.3%,1.0%,1.0%,0.5%,0.1%,1.0%,20.6%,77.0%,320,13.1%,"2,152",70.3%,"$155,500","$1,135",$386,$710,8.3%,11,"1,668",2.54,90.4%,22.7%,91.5%,79.4%,88.2%,25.5%,6.6%,13.2%,62.0%,52.7%,"2,614","21,234","4,059",,"46,101","$10,557",16.1,"$50,724","$29,236",10.8%,142,"1,075","41,201",-4.8%,440,485,266,94,,411,,400,0.0%,0.0%,0.0%,0.0%,0.0%,27.5%,6.5,687.93,"PHILLIPS COUNTY, COLORADO",08095
292,COLORADO,PITKIN COUNTY,"17,950",4.7%,"17,149","17,148",3.9%,15.1%,19.4%,48.3%,94.9%,1.0%,0.5%,1.9%,0.1%,1.5%,10.1%,85.7%,759,11.6%,"14,141",64.5%,"$623,400","$1,931",$776,"$1,284",38.8%,83,"7,018",2.53,83.4%,14.1%,94.6%,88.9%,96.3%,63.1%,1.9%,12.3%,79.7%,75.3%,"305,279",,"16,650",,"344,394","$19,950",18.1,"$71,244","$56,180",6.8%,"1,594","17,605","694,234",-1.8%,"3,736","4,855","2,698","1,546",272,"4,309",419,"4,065",0.0%,0.0%,0.0%,0.0%,2.9%,26.5%,17.7,970.70,"PITKIN COUNTY, COLORADO",08097
293,COLORADO,PROWERS COUNTY,"12,164",-3.1%,"12,551","12,551",7.1%,25.8%,17.6%,49.7%,94.7%,0.9%,2.0%,0.5%,,2.0%,38.6%,58.2%,614,10.4%,"5,983",63.8%,"$94,100","$1,082",$361,$677,15.2%,1,"4,963",2.35,82.9%,23.4%,82.5%,76.7%,82.1%,17.4%,12.2%,14.1%,62.1%,55.9%,"17,633","48,822","31,473","97,502","162,251","$13,096",13.8,"$40,097","$21,612",21.6%,342,"2,926","86,916",-6.0%,853,829,408,284,107,670,80,695,0.0%,0.0%,0.0%,0.0%,0.0%,13.2%,7.7,"1,638.40","PROWERS COUNTY, COLORADO",08099
294,COLORADO,PUEBLO COUNTY,"167,529",5.3%,"159,063","159,063",5.8%,22.5%,18.5%,50.7%,90.2%,2.6%,3.1%,1.1%,0.2%,2.9%,43.1%,52.0%,"14,095",3.5%,"71,451",64.3%,"$155,400","$1,225",$400,$803,15.0%,479,"63,762",2.51,83.8%,12.9%,86.1%,73.6%,89.4%,22.0%,14.1%,8.4%,56.4%,53.6%,"236,026","1,063,087","2,333,268",,"1,952,767","$12,140",22.0,"$44,634","$24,257",17.2%,"3,117","50,879","1,970,356",1.9%,"8,766","10,685","5,518","3,521","2,779","7,364",890,"8,812",0.6%,1.5%,1.7%,0.0%,17.1%,29.1%,66.7,"2,386.10","PUEBLO COUNTY, COLORADO",08101
295,COLORADO,RIO BLANCO COUNTY,"6,336",-5.1%,"6,673","6,666",5.9%,23.8%,15.5%,48.9%,93.6%,1.2%,1.6%,0.7%,0.1%,2.7%,10.3%,84.6%,504,2.8%,"3,405",70.0%,"$203,100","$1,276",$346,$734,16.7%,19,"2,403",2.54,79.8%,7.6%,88.2%,78.2%,92.8%,20.2%,5.2%,9.2%,62.6%,57.3%,"11,544","18,976",,,"54,823","$7,995",17.0,"$55,543","$27,057",10.8%,214,"1,770","100,985",3.3%,557,870,343,244,36,796,35,752,0.0%,0.0%,0.0%,0.0%,0.0%,30.7%,2.1,"3,220.93","RIO BLANCO COUNTY, COLORADO",08103
296,COLORADO,RIO GRANDE COUNTY,"11,250",-6.1%,"11,982","11,982",5.9%,22.7%,20.2%,50.0%,92.5%,1.0%,3.4%,0.6%,0.1%,2.3%,44.0%,52.5%,622,4.8%,"6,824",66.2%,"$161,300","$1,204",$338,$588,10.1%,20,"4,504",2.47,86.5%,26.4%,75.2%,64.3%,84.3%,23.7%,12.3%,13.6%,54.3%,46.9%,"12,817","28,661","10,483","238,410","99,816","$8,358",17.2,"$38,639","$22,413",14.5%,340,"2,514","87,336",1.2%,"1,102","1,293",411,575,349,860,65,"1,110",0.0%,0.0%,0.0%,0.0%,16.1%,24.6%,13.1,911.96,"RIO GRANDE COUNTY, COLORADO",08105
297,COLORADO,ROUTT COUNTY,"25,733",9.5%,"23,506","23,509",4.5%,18.1%,15.4%,47.9%,95.8%,0.9%,0.6%,0.9%,0.1%,1.6%,7.0%,89.6%,"1,224",5.9%,"16,951",70.4%,"$510,600","$1,990",$508,"$1,215",33.0%,170,"9,552",2.56,84.2%,6.8%,94.6%,91.2%,96.8%,50.4%,3.4%,8.5%,72.1%,68.5%,"241,422","141,646","17,427","131,234","360,942","$15,469",19.7,"$74,273","$40,727",7.0%,"1,728","14,494","507,289",-13.6%,"3,792","4,956","2,537","1,529",213,"4,558",251,"4,384",0.0%,0.5%,0.0%,0.0%,0.0%,20.3%,10.0,"2,362.03","ROUTT COUNTY, COLORADO",08107
298,COLORADO,SAGUACHE COUNTY,"6,843",12.0%,"6,108","6,108",5.8%,21.4%,23.0%,49.9%,91.4%,1.1%,3.5%,0.9%,,3.1%,35.9%,58.8%,453,10.8%,"4,215",74.9%,"$149,500",$989,$329,$635,5.4%,106,"2,645",2.44,92.3%,30.1%,83.0%,64.2%,80.4%,22.9%,13.0%,16.9%,51.8%,46.0%,"1,148",,,"108,134","23,274","$3,692",18.7,"$34,410","$22,901",24.6%,127,"1,003","28,579",7.6%,619,740,393,229,40,679,78,643,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9,"3,168.53","SAGUACHE COUNTY, COLORADO",08109
299,COLORADO,SAN JUAN COUNTY,762,9.0%,699,699,3.7%,12.6%,23.4%,44.0%,95.1%,0.1%,0.9%,0.8%,0.0%,3.0%,12.3%,83.9%,60,3.3%,787,66.9%,"$286,700","$1,455",$400,$975,31.7%,7,266,2.05,92.3%,16.4%,86.8%,77.1%,92.9%,34.5%,7.7%,8.6%,65.8%,48.6%,"6,237",,,,"6,786","$9,835",10.4,"$46,563","$33,984",14.4%,74,246,"6,832",-1.2%,128,320,138,148,,257,,254,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8,387.49,"SAN JUAN COUNTY, COLORADO",08111
300,COLORADO,SAN MIGUEL COUNTY,"8,191",11.3%,"7,359","7,359",4.0%,17.6%,14.7%,46.8%,95.1%,0.9%,1.4%,0.9%,0.1%,1.7%,10.7%,85.9%,369,8.8%,"6,943",60.5%,"$491,100","$2,067",$555,"$1,125",41.7%,53,"3,441",2.31,83.4%,12.9%,95.4%,80.6%,95.0%,56.7%,4.1%,11.8%,78.3%,73.2%,"77,191","9,996","10,864","3,965","79,706","$10,515",19.4,"$64,478","$45,396",8.6%,636,"4,937","172,125",-2.6%,"1,786","2,214","1,229",560,115,"2,028",200,"1,917",0.0%,0.0%,0.0%,0.0%,3.1%,23.3%,5.7,"1,286.61","SAN MIGUEL COUNTY, COLORADO",08113
301,COLORADO,SEDGWICK COUNTY,"2,303",-3.3%,"2,382","2,379",5.2%,20.4%,26.2%,50.6%,94.0%,1.0%,1.2%,1.4%,0.2%,2.3%,16.7%,79.7%,214,3.0%,"1,429",71.6%,"$87,300",$883,$331,$575,12.9%,2,"1,017",2.27,86.1%,6.5%,83.1%,69.2%,90.1%,20.8%,11.9%,12.1%,55.8%,49.9%,"1,440",,,"20,588","28,083","$11,785",20.4,"$45,188","$25,048",14.9%,76,469,"14,160",-1.7%,186,161,81,,,131,,128,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.3,548.04,"SEDGWICK COUNTY, COLORADO",08115
302,COLORADO,SUMMIT COUNTY,"31,007",10.8%,"27,994","27,994",4.5%,16.2%,13.7%,45.8%,95.0%,1.3%,0.8%,1.3%,0.1%,1.5%,14.6%,81.8%,"1,237",11.1%,"31,484",66.1%,"$563,000","$1,925",$590,"$1,402",56.5%,643,"9,707",3.09,86.4%,15.7%,96.9%,82.6%,93.3%,51.0%,5.2%,11.1%,78.9%,73.2%,"311,333","134,806","40,649",,"627,160","$22,363",16.4,"$77,589","$38,310",6.7%,"2,259","21,720","688,041",2.0%,"4,423","5,813","3,307","1,769",344,"5,170",525,"4,916",0.0%,0.0%,0.0%,0.0%,0.0%,27.5%,46.0,608.36,"SUMMIT COUNTY, COLORADO",08117
303,COLORADO,TELLER COUNTY,"25,083",7.4%,"23,359","23,350",4.0%,17.0%,21.9%,49.2%,94.1%,0.9%,1.4%,1.0%,0.1%,2.5%,6.8%,88.5%,"3,073",3.4%,"13,349",80.9%,"$279,100","$1,491",$408,"$1,070",5.3%,148,"10,183",2.35,82.1%,4.2%,94.1%,87.2%,95.8%,34.0%,10.0%,8.2%,61.7%,59.4%,"110,822",,"6,521","13,345","207,796","$8,884",32.1,"$65,382","$34,392",7.4%,720,"5,898","211,639",-0.3%,"2,689","2,898","1,329","1,061",151,"2,635",488,"2,281",0.0%,0.0%,0.0%,0.0%,0.0%,31.0%,41.9,557.06,"TELLER COUNTY, COLORADO",08119
304,COLORADO,WASHINGTON COUNTY,"4,909",2.0%,"4,812","4,814",5.9%,22.6%,20.7%,48.0%,96.2%,1.2%,0.4%,0.4%,0.1%,1.6%,10.5%,86.4%,327,3.1%,"2,473",68.0%,"$138,700","$1,201",$362,$693,7.2%,9,"2,030",2.24,77.3%,5.0%,87.6%,77.2%,92.5%,16.2%,6.1%,9.6%,60.9%,56.7%,"1,013","1,702",,"209,791","31,591","$6,628",24.1,"$49,375","$26,680",13.7%,115,530,"19,138",-2.2%,388,308,124,94,,287,28,232,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9,"2,518.03","WASHINGTON COUNTY, COLORADO",08121
305,COLORADO,WELD COUNTY,"314,305",24.3%,"252,847","252,825",7.3%,26.2%,12.2%,49.6%,92.6%,1.5%,1.6%,1.8%,0.2%,2.3%,29.6%,65.4%,"16,487",8.7%,"112,465",72.6%,"$269,400","$1,578",$445,"$1,014",16.2%,"4,107","102,101",2.83,82.8%,19.3%,92.1%,83.9%,88.1%,26.7%,7.0%,9.4%,68.1%,60.7%,"273,945","893,068","5,991,440","5,349,155","2,707,571","$10,268",27.3,"$70,908","$30,626",10.5%,"6,274","85,076","4,277,886",1.7%,"23,109","22,381","11,009","8,221","3,432","18,038","2,181","19,120",0.6%,1.4%,1.5%,0.0%,0.0%,25.4%,63.4,"3,987.24","WELD COUNTY, COLORADO",08123
306,COLORADO,YUMA COUNTY,"10,020",-0.2%,"10,043","10,043",7.4%,27.0%,18.5%,50.2%,96.6%,0.6%,0.9%,0.5%,0.2%,1.1%,23.9%,74.1%,578,10.4%,"4,550",63.2%,"$171,600","$1,320",$372,$769,9.0%,,"4,051",2.46,86.8%,19.2%,86.0%,73.3%,88.1%,22.1%,6.9%,13.4%,68.2%,58.8%,"8,501","53,736","164,774","855,489","125,565","$12,409",14.9,"$48,394","$25,846",12.1%,380,"2,545","97,515",-9.8%,"1,012","1,492",797,391,45,"1,350",66,"1,278",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.2,"2,364.41","YUMA COUNTY, COLORADO",08125
307,CONNECTICUT,FAIRFIELD COUNTY,"943,823",2.9%,"916,864","916,829",5.5%,22.5%,15.9%,51.3%,78.7%,12.7%,0.5%,5.8%,0.1%,2.1%,20.2%,61.5%,"32,562",21.7%,"374,481",67.3%,"$422,300","$2,771","$1,116","$1,470",35.1%,"1,097","340,491",2.72,88.2%,29.5%,91.8%,87.1%,89.9%,47.4%,5.9%,8.9%,67.8%,61.8%,"2,153,287","8,087,565","13,412,490","130,674,823","15,166,507","$16,241",30.7,"$92,969","$55,613",10.0%,"27,207","429,679","35,297,553",0.5%,"95,726","107,557","60,955","34,959","21,309","81,744","8,715","93,696",4.7%,0.4%,3.3%,0.0%,5.9%,28.6%,"1,467.2",624.89,"FAIRFIELD COUNTY, CONNECTICUT",09001
308,CONNECTICUT,HARTFORD COUNTY,"892,697",-0.1%,"894,033","894,014",5.4%,21.0%,17.1%,51.4%,75.2%,15.7%,0.6%,5.9%,0.1%,2.6%,18.5%,60.6%,"41,005",15.3%,"380,471",64.5%,"$237,700","$1,922",$841,"$1,076",38.4%,"1,134","349,064",2.49,87.8%,25.2%,88.7%,82.2%,89.5%,37.8%,7.9%,5.4%,65.8%,62.0%,"1,905,317","8,536,437","16,965,486","15,797,204","13,762,363","$15,338",23.3,"$72,321","$39,260",11.2%,"22,880","459,840","28,087,722",0.7%,"59,499","73,386","41,848","24,353","14,844","55,488","7,061","62,045",6.3%,0.5%,3.9%,0.0%,4.1%,25.9%,"1,216.2",735.10,"HARTFORD COUNTY, CONNECTICUT",09003
309,CONNECTICUT,LITCHFIELD COUNTY,"181,111",-4.6%,"189,925","189,927",4.1%,18.2%,21.3%,50.6%,93.6%,2.3%,0.3%,2.1%,0.1%,1.7%,6.7%,88.1%,"11,632",7.9%,"88,383",77.1%,"$251,500","$1,909",$803,"$1,036",21.0%,126,"73,987",2.43,90.6%,10.3%,90.4%,85.1%,92.6%,35.1%,6.9%,5.1%,67.1%,63.3%,"265,230","929,184","2,615,264",,"2,654,993","$14,158",27.8,"$78,314","$42,443",6.9%,"4,714","50,591","2,162,422",-4.1%,"17,232","20,187","12,048","6,092","1,330","18,350","1,755","17,666",1.6%,0.6%,1.5%,0.0%,1.1%,28.5%,206.3,920.56,"LITCHFIELD COUNTY, CONNECTICUT",09005
310,CONNECTICUT,MIDDLESEX COUNTY,"162,682",-1.8%,"165,676","165,676",4.1%,17.7%,20.3%,51.3%,89.0%,5.5%,0.3%,3.2%,0.1%,2.1%,6.4%,83.7%,"10,170",7.6%,"76,537",73.6%,"$284,900","$2,086",$837,"$1,162",23.0%,164,"66,892",2.35,89.0%,10.7%,90.7%,85.3%,94.2%,41.5%,6.6%,4.1%,68.0%,63.6%,"329,534","1,411,160","3,605,419","1,537,617","2,202,552","$13,300",26.4,"$84,761","$45,293",6.7%,"4,201","62,799","3,023,673",-0.7%,"13,396","17,309","10,011","5,354","1,134","15,462","2,071","14,440",1.3%,0.4%,3.4%,0.2%,1.5%,28.0%,448.6,369.30,"MIDDLESEX COUNTY, CONNECTICUT",09007
311,CONNECTICUT,NEW HAVEN COUNTY,"857,620",-0.6%,"862,456","862,477",5.1%,20.2%,17.4%,51.8%,77.6%,15.0%,0.5%,4.3%,0.1%,2.5%,18.6%,62.3%,"39,498",12.2%,"367,745",61.9%,"$246,700","$2,010",$881,"$1,133",40.2%,"1,166","329,857",2.52,88.0%,21.8%,87.5%,81.0%,90.1%,34.9%,7.5%,5.7%,65.2%,62.0%,"1,487,237","7,788,195","10,818,135","11,237,229","11,567,525","$13,407",25.3,"$67,128","$36,678",11.6%,"19,562","340,724","17,669,652",-0.2%,"62,087","73,035","42,046","23,620","13,508","56,676","7,336","62,207",5.0%,0.5%,3.7%,0.0%,4.4%,28.2%,"1,426.7",604.51,"NEW HAVEN COUNTY, CONNECTICUT",09009
312,CONNECTICUT,NEW LONDON COUNTY,"266,784",-2.7%,"274,068","274,055",5.0%,19.4%,18.2%,49.9%,83.6%,7.0%,1.2%,4.4%,0.1%,3.7%,10.9%,75.3%,"21,980",8.5%,"123,635",66.5%,"$239,000","$1,853",$751,"$1,099",27.8%,666,"107,402",2.39,85.4%,13.8%,89.9%,84.9%,91.9%,33.3%,9.2%,5.0%,63.9%,61.2%,"3,023,820","1,727,974","4,693,686",,"3,679,298","$13,420",23.5,"$71,368","$38,109",9.8%,"5,907","105,456","5,328,892",-0.5%,"17,132","20,244","11,621","6,428","2,519","16,823","2,358","16,712",2.1%,0.9%,2.8%,0.0%,2.6%,28.2%,412.2,664.88,"NEW LONDON COUNTY, CONNECTICUT",09011
313,CONNECTICUT,TOLLAND COUNTY,"150,921",-1.2%,"152,744","152,691",4.1%,17.3%,15.8%,49.9%,89.0%,3.8%,0.3%,4.9%,0.1%,2.0%,5.7%,84.3%,"8,789",7.1%,"60,032",72.1%,"$251,300","$1,939",$792,"$1,119",24.5%,289,"55,232",2.46,86.2%,10.6%,92.3%,87.3%,94.6%,41.2%,7.0%,3.7%,66.2%,64.0%,"219,058","501,890","903,563","230,015","1,303,051","$8,599",26.5,"$84,916","$39,668",8.0%,"2,440","27,286","1,078,210",-3.4%,"9,552","9,914","5,444","3,449",835,"8,809","1,091","8,423",0.0%,0.0%,2.9%,0.0%,1.8%,32.5%,372.2,410.21,"TOLLAND COUNTY, CONNECTICUT",09013
314,CONNECTICUT,WINDHAM COUNTY,"117,027",-1.1%,"118,381","118,428",4.9%,19.8%,16.6%,50.5%,92.1%,3.2%,0.7%,1.5%,0.1%,2.5%,12.3%,82.2%,"8,362",5.1%,"49,833",69.7%,"$198,000","$1,667",$648,$895,26.7%,173,"44,449",2.5,87.3%,12.6%,87.8%,80.1%,88.6%,24.1%,9.8%,5.6%,66.0%,63.3%,"158,585","590,714","2,146,052","289,276","1,296,178","$11,022",26.5,"$64,774","$31,106",11.7%,"2,119","31,180","1,230,590",1.6%,"6,829","8,262","4,750","2,477",706,"7,235",736,"6,930",0.9%,0.8%,1.9%,0.0%,0.0%,24.4%,230.9,512.91,"WINDHAM COUNTY, CONNECTICUT",09015
315,DELAWARE,KENT COUNTY,"178,550",10.0%,"162,349","162,310",6.3%,22.9%,17.1%,51.8%,66.2%,26.8%,0.7%,2.4%,0.1%,3.7%,7.4%,60.9%,"17,180",5.7%,"73,093",69.0%,"$213,900","$1,471",$410,"$1,070",13.3%,"1,459","64,545",2.63,85.4%,9.8%,89.9%,83.3%,87.1%,23.6%,10.8%,6.4%,60.8%,57.8%,"475,775","990,552","1,930,847",,"2,690,762","$16,052",25.8,"$58,775","$28,100",13.8%,"3,583","52,481","2,066,757",-1.3%,"10,786","12,004","6,012","3,763","2,275","9,065","1,218","9,669",10.4%,0.8%,3.8%,0.0%,2.5%,26.2%,276.9,586.18,"KENT COUNTY, DELAWARE",10001
316,DELAWARE,NEW CASTLE COUNTY,"559,335",3.9%,"538,479","538,479",5.7%,21.5%,15.6%,51.5%,65.0%,26.1%,0.5%,5.8%,0.1%,2.6%,10.3%,56.8%,"30,845",11.1%,"224,499",68.0%,"$254,500","$1,646",$491,"$1,141",22.5%,"1,364","203,855",2.64,87.2%,14.9%,90.9%,83.9%,91.5%,35.9%,7.7%,5.6%,65.2%,62.0%,"1,128,320","4,843,457","17,046,664",,"8,623,161","$15,791",25.8,"$70,996","$35,847",11.6%,"15,971","269,368","16,909,423",-1.1%,"37,854","43,478","22,776","13,878","9,891","30,249","3,880","35,573",10.1%,0.0%,5.1%,0.0%,2.1%,26.5%,"1,263.2",426.29,"NEW CASTLE COUNTY, DELAWARE",10003
317,DELAWARE,SUSSEX COUNTY,"229,286",16.3%,"197,106","197,145",5.0%,18.6%,27.7%,51.7%,82.9%,12.3%,1.1%,1.3%,0.2%,2.1%,9.3%,75.3%,"18,565",7.1%,"141,101",79.6%,"$248,900","$1,440",$454,"$1,018",11.2%,"3,180","89,365",2.42,89.2%,10.7%,87.7%,78.5%,87.7%,26.5%,8.8%,7.2%,56.2%,51.6%,"544,342","1,169,242","3,619,873","783,401","3,142,078","$15,449",25.8,"$60,853","$33,983",12.3%,"5,606","69,318","2,597,312",3.9%,"16,994","18,619","9,740","6,355","2,279","15,713","2,121","15,304",4.5%,0.5%,1.6%,0.0%,1.7%,24.3%,210.6,936.08,"SUSSEX COUNTY, DELAWARE",10005
318,FLORIDA,ALACHUA COUNTY,"269,956",9.1%,"247,337","247,336",5.2%,18.0%,14.0%,51.7%,69.9%,20.6%,0.4%,6.3%,0.1%,2.9%,10.3%,60.8%,"15,109",10.3%,"118,968",54.8%,"$173,900","$1,408",$482,$958,37.4%,"1,504","97,048",2.54,77.2%,13.8%,90.8%,83.7%,92.4%,42.5%,7.3%,11.9%,59.7%,57.0%,,"2,707,486",,"1,297,542","3,208,691","$12,762",22.0,"$49,078","$27,896",19.8%,"6,195","94,515","3,970,480",1.2%,"18,907","20,110","10,330","7,177","4,816","14,333","2,217","16,761",7.8%,0.0%,3.8%,0.0%,6.7%,31.6%,282.7,875.02,"ALACHUA COUNTY, FLORIDA",12001
319,FLORIDA,BAKER COUNTY,"28,355",4.6%,"27,115","27,115",6.3%,23.7%,14.2%,47.4%,83.0%,14.0%,0.4%,0.7%,,1.8%,2.7%,80.8%,"2,236",1.8%,"10,090",75.6%,"$120,900","$1,203",$318,$769,3.7%,118,"8,625",2.92,82.8%,3.8%,87.0%,74.7%,84.5%,13.4%,13.0%,12.0%,52.2%,54.9%,"23,726","117,811",,,"217,349","$8,024",30.1,"$61,769","$24,070",15.4%,388,"4,594","143,519",-19.8%,"1,318","1,255",636,464,194,984,196,950,0.0%,0.0%,0.0%,0.0%,0.0%,26.2%,46.3,585.23,"BAKER COUNTY, FLORIDA",12003
320,FLORIDA,BAY COUNTY,"185,287",9.7%,"168,852","168,852",6.1%,21.5%,17.1%,50.4%,81.7%,11.7%,0.8%,2.3%,0.2%,3.3%,6.7%,76.1%,"21,687",5.8%,"104,314",63.5%,"$172,600","$1,367",$413,"$1,009",31.1%,"1,520","70,199",2.57,80.1%,7.0%,89.9%,82.6%,90.3%,22.8%,14.5%,14.8%,58.5%,55.2%,"565,165","1,034,384","1,473,839","514,829","2,728,227","$15,871",23.3,"$51,829","$28,017",13.4%,"4,700","63,126","2,246,172",2.6%,"14,126","12,985","6,634","4,738","2,304","10,043","1,657","10,436",0.0%,0.0%,0.0%,0.3%,2.7%,29.0%,222.6,758.46,"BAY COUNTY, FLORIDA",12005
321,FLORIDA,BRADFORD COUNTY,"27,732",-2.8%,"28,520","28,520",5.4%,19.6%,17.8%,44.8%,76.7%,20.1%,0.5%,0.6%,0.1%,2.1%,4.3%,73.2%,"2,266",2.9%,"11,029",68.6%,"$97,200","$1,028",$304,$829,6.7%,5,"8,993",2.6,88.1%,5.1%,73.2%,65.8%,78.3%,10.6%,14.8%,13.3%,44.7%,47.8%,"28,099","79,999",,,"241,168","$8,916",32.8,"$46,197","$20,481",19.5%,432,"4,416","140,282",4.2%,"1,220","1,572",728,631,196,"1,318",187,"1,249",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,97.0,293.96,"BRADFORD COUNTY, FLORIDA",12007
322,FLORIDA,BREVARD COUNTY,"596,849",9.8%,"543,372","543,376",4.7%,18.2%,23.7%,51.1%,83.2%,10.7%,0.5%,2.6%,0.1%,2.8%,10.7%,74.1%,"64,528",8.6%,"280,398",72.9%,"$177,400","$1,324",$440,"$1,018",23.1%,"2,958","228,888",2.49,84.8%,10.4%,90.8%,84.9%,92.0%,29.3%,10.3%,13.0%,54.1%,49.7%,"902,562","3,727,631","5,441,890","1,846,458","6,527,527","$11,927",24.8,"$54,359","$30,987",11.0%,"14,255","185,134","8,278,487",5.1%,"44,509","44,670","22,885","16,878","8,913","34,184","4,815","37,709",6.1%,0.4%,2.9%,0.0%,5.3%,30.4%,535.0,"1,015.66","BREVARD COUNTY, FLORIDA",12009
323,FLORIDA,BROWARD COUNTY,"1,951,260",11.6%,"1,748,146","1,748,066",5.8%,21.2%,16.6%,51.3%,63.2%,30.1%,0.4%,3.9%,0.1%,2.3%,30.4%,35.6%,"76,823",33.7%,"826,899",62.1%,"$243,100","$1,793",$610,"$1,332",47.8%,"3,332","682,088",2.77,84.3%,40.7%,91.6%,82.7%,88.8%,31.9%,6.7%,16.9%,65.7%,60.9%,"5,129,202","12,193,730","6,010,559","33,606,619","32,042,879","$17,653",28.4,"$57,333","$31,464",12.6%,"61,032","705,667","33,532,703",1.8%,"277,588","259,431","132,599","101,837","134,232","117,938","19,885","232,477",16.4%,0.5%,3.7%,0.1%,22.1%,29.8%,"1,444.9","1,209.79","BROWARD COUNTY, FLORIDA",12011
324,FLORIDA,CALHOUN COUNTY,"14,587",-0.3%,"14,625","14,625",4.9%,20.0%,18.0%,45.4%,82.2%,13.2%,1.3%,0.8%,0.1%,2.4%,5.7%,77.2%,"1,026",3.6%,"6,028",82.4%,"$81,300",$945,$281,$661,2.2%,12,"4,556",2.73,83.4%,6.5%,74.7%,64.0%,78.1%,9.9%,14.2%,15.2%,44.1%,46.0%,,"40,566",,"4,727","70,115","$4,762",24.7,"$38,609","$18,921",21.3%,184,"1,696","48,781",-4.8%,736,812,378,302,142,646,61,680,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.8,567.33,"CALHOUN COUNTY, FLORIDA",12013
